Date,SPY Only,60/40 Portfolio,Equal Weight,Balanced,Risk Parity
2018-09-26,1.0000000000000022,0.5203473268621469,0.5451355720924355,0.7606833946716662,0.3749663204239487
2018-09-27,1.0000000000000022,0.513593399697155,0.539422305267822,0.7563754177419525,0.3675557637808273
2018-09-28,1.0000000000000022,0.508395218068311,0.5524614966857558,0.7596586868537404,0.3808668795398229
2018-10-01,1.0000000000000024,0.5120835068718053,0.5634923801780075,0.7677169184070114,0.3921028578021612
2018-10-02,1.0000000000000024,0.5110242951659879,0.5606771818794005,0.7657456903289306,0.38914960958436795
2018-10-03,1.0000000000000027,0.5153062257568275,0.5676065514031257,0.7711761073257196,0.39668685826083355
2018-10-04,1.0000000000000027,0.5386012172936051,0.6064321133123685,0.8020586743338466,0.43843761357730116
2018-10-05,1.0000000000000029,0.5437327721706521,0.6084502147434342,0.8056142334628235,0.44091920603121737
2018-10-08,1.000000000000003,0.5427386938211817,0.6081550706650103,0.8053555874811785,0.4403341024737449
2018-10-09,1.0000000000000029,0.542297462581445,0.6115819738944156,0.806482210991239,0.44401006486718275
2018-10-10,1.0000000000000024,0.5660726307328715,0.6134550291692544,0.8131299254498343,0.4510631745367239
2018-10-11,1.0000000000000022,0.5478873253525922,0.5497990447828036,0.7669468536163677,0.3871181696562353
2018-10-12,1.0000000000000022,0.5453826661014127,0.5521683949563865,0.7733137402525523,0.3859419576584017
2018-10-15,1.0000000000000018,0.5421414993060285,0.5448727976041265,0.767753538503212,0.3783578395794484
2018-10-16,1.0000000000000018,0.5512198341739742,0.5496188782532441,0.772001424819974,0.38534916308121736
2018-10-17,1.0000000000000018,0.5475930466382721,0.5464964344292647,0.7694263434626187,0.3814382123158637
2018-10-18,1.000000000000002,0.5446575792184873,0.5416805211100455,0.7674939224514501,0.3752371841248513
2018-10-19,1.000000000000002,0.5448099806013682,0.5415029400040033,0.7674256159597915,0.3750964155079356
2018-10-22,1.0000000000000018,0.5391044674598121,0.5370288131199897,0.7604743752091847,0.37104715114459136
2018-10-23,1.000000000000002,0.5390480017582947,0.5354578843217452,0.759460496933874,0.3695370031970475
2018-10-24,1.0000000000000016,0.5279017050213399,0.5313334991730044,0.7589127452940427,0.3606767823349335
2018-10-25,1.0000000000000016,0.5266291461728986,0.5366202368065877,0.7664290247878921,0.3630808565682195
2018-10-26,1.0000000000000013,0.5238254661678222,0.5330462336271059,0.7661192276385953,0.35766822988961755
2018-10-29,1.0000000000000013,0.5251615143951548,0.5371472575155167,0.7697967925449095,0.3614719753063865
2018-10-30,1.000000000000001,0.5226020722552942,0.5325730013233521,0.7663995892492693,0.35648868638194287
2018-10-31,1.0000000000000013,0.5215390658818131,0.5341801439099545,0.7695513763810025,0.35652782201834854
2018-11-01,1.0000000000000013,0.5203946370761906,0.5360114580808919,0.7691738500215974,0.35869979746595326
2018-11-02,1.0000000000000013,0.5251241634673874,0.5399665973579324,0.7728936752215403,0.36345738691524265
2018-11-05,1.0000000000000013,0.5266353656504847,0.5387882009832416,0.7713473586738385,0.36327439421347124
2018-11-06,1.0000000000000013,0.5289780120966374,0.5407371202566043,0.7731279801362821,0.3656506481043371
2018-11-07,1.0000000000000013,0.5302181837176645,0.5421939719556835,0.7757635535275053,0.3665598739520348
2018-11-08,1.0000000000000013,0.5297563381400505,0.5428126386016454,0.7764732357944415,0.3668238907272801
2018-11-09,1.0000000000000013,0.5266555948151841,0.5455577340908346,0.777631941181213,0.368689780851692
2018-11-12,1.000000000000001,0.5191193036564178,0.5436680317714725,0.7767247838793876,0.364144434373512
2018-11-13,1.000000000000001,0.5198180089190432,0.5438223229256383,0.7766867706975603,0.3646035981204863
2018-11-14,1.000000000000001,0.5198309136180962,0.5414696921329284,0.7753358546895601,0.36228664452054704
2018-11-15,1.0000000000000013,0.521745495326459,0.5441920273175403,0.777579824985237,0.36526893058570536
2018-11-16,1.000000000000001,0.521778563319886,0.5451045850368579,0.7784037113810998,0.36602171057394534
2018-11-19,1.0000000000000013,0.5219024121930513,0.549584627487835,0.7839534917756069,0.368906121520926
2018-11-20,1.0000000000000013,0.5236057613229587,0.5455993403763217,0.7788402820616107,0.3670561282711915
2018-11-21,1.000000000000001,0.5243561440982424,0.5472465651602513,0.7800529809641437,0.3687975150795034
2018-11-23,1.0000000000000009,0.524982026637952,0.5474103745210509,0.7801636011293798,0.36916516697150825
2018-11-26,1.0000000000000007,0.5361652926600168,0.5584946364673995,0.7907552620344152,0.3816989916136299
2018-11-27,1.0000000000000009,0.5390894793691635,0.5632483714353437,0.7968471581722585,0.3856103990724667
2018-11-28,1.0000000000000007,0.5374082219943505,0.5660045990499116,0.7983590573655588,0.3877905464020835
2018-11-29,1.0000000000000009,0.5384901600157845,0.567102881317715,0.7986685120829848,0.3894158600923755
2018-11-30,1.000000000000001,0.5410634176595513,0.5680549101233897,0.7992780789883275,0.39120501561454296
2018-12-03,1.000000000000001,0.5461974319760029,0.5736187496220898,0.8024192153048952,0.39848538328712657
2018-12-04,1.0000000000000009,0.5326789559643107,0.5544837618861457,0.7870541216186558,0.3772861835465687
2018-12-06,1.0000000000000007,0.5325228272494427,0.5540436055704846,0.7865788194786194,0.37691629749244276
2018-12-07,1.0000000000000004,0.5345767189526234,0.5513931413499201,0.786361184570754,0.374314341360171
2018-12-10,1.0000000000000009,0.5350414670140151,0.5518129783161904,0.7869411255812546,0.3747084248353916
2018-12-11,1.0000000000000009,0.5350129188211238,0.5518033046122212,0.786857643086224,0.374730401473716
2018-12-12,1.0000000000000009,0.5341733576135452,0.5523387220605539,0.7872703525917009,0.37491476229257004
2018-12-13,1.0000000000000009,0.5332755073412366,0.5512225341905195,0.786256591747699,0.37370294876027027
2018-12-14,1.0000000000000007,0.5329982477793125,0.5517522975955399,0.7857905374400139,0.37453893094231805
2018-12-17,1.0000000000000007,0.5311965546665175,0.5458399952707965,0.7813635451482149,0.36863405638411845
2018-12-18,1.0000000000000007,0.5316821599866991,0.5460178369977421,0.78162599465246,0.36889118056599035
2018-12-19,1.0000000000000007,0.5271065689992419,0.5462705388717523,0.7812756115703666,0.3678329401826003
2018-12-20,1.0000000000000007,0.5313706528906391,0.5410694249863364,0.7780687614733979,0.36428111427123394
2018-12-21,1.0000000000000004,0.5337276087722893,0.5458351667411547,0.7815623531065992,0.36939104650788906
2018-12-24,1.0000000000000004,0.5332492984758742,0.5326665483519051,0.7706305546618003,0.35802014556646566
2018-12-26,1.0000000000000004,0.5300633176893826,0.5256929580512533,0.762356136407536,0.3523098872668181
2018-12-27,1.0000000000000002,0.532013899705435,0.526015081772843,0.7620229182280623,0.3535719133432843
2018-12-28,1.0000000000000002,0.5316442567237599,0.5259149933401078,0.7618054438350191,0.3534311331644558
2018-12-31,1.0000000000000004,0.5330859081362155,0.5264762314640516,0.7619683363751598,0.3545641871794914
2019-01-02,1.0000000000000007,0.5333366475585667,0.5269814202339521,0.7621538296728818,0.355204176071814
2019-01-03,1.0000000000000004,0.5294132483966267,0.5222585704148008,0.7592353729752891,0.3493070820205632
2019-01-04,1.0000000000000004,0.5239498807769402,0.5142177570276988,0.753656020265684,0.3400082668595822
2019-01-07,1.0000000000000002,0.5226387675974598,0.5136313598799103,0.752780860561342,0.33926519089693874
2019-01-08,1.0000000000000002,0.5234977948354893,0.51335740464639,0.7528173547925509,0.3391869260451556
2019-01-09,1.0000000000000002,0.5233587188592659,0.5142643784694699,0.7534561232284345,0.33997157227081143
2019-01-10,0.9999999999999998,0.5232315307298964,0.5130288481351586,0.7532248548353504,0.3384552525519694
2019-01-11,0.9999999999999998,0.5229210559786397,0.5114071850184648,0.7518770736582949,0.33696946775872655
2019-01-14,1.0,0.5234769009180833,0.511762172652372,0.7521993201113348,0.33744771927514583
2019-01-15,1.0,0.5230556336524212,0.5120858828190351,0.7528233654572194,0.3373902267263538
2019-01-16,1.0,0.5232652658559939,0.5128601204218117,0.7530348118201957,0.33834973792783296
2019-01-17,0.9999999999999998,0.5238019638540743,0.5129943723628472,0.7531558518575012,0.3386430934789991
2019-01-18,1.0,0.5234246903067489,0.5094004061979184,0.7504068152731379,0.33533076509701193
2019-01-22,0.9999999999999998,0.5219034434223653,0.5085491334058347,0.7499908638274769,0.33393008565365173
2019-01-23,0.9999999999999997,0.5225060651976141,0.5089550980140238,0.7502450286039063,0.33452630990185306
2019-01-24,0.9999999999999996,0.5221105261246788,0.5089064182217707,0.750336608917291,0.3342791511689056
2019-01-25,0.9999999999999996,0.5214590359778617,0.5093976203919864,0.7501708375362368,0.334777692677901
2019-01-28,0.9999999999999994,0.521776269578824,0.5090044511765021,0.750002100793037,0.33446838053484645
2019-01-29,0.9999999999999996,0.5217079121766407,0.5085339405956555,0.7495549805844145,0.3340744812100622
2019-01-30,0.9999999999999994,0.5219831421315232,0.5105712724876409,0.7508498778706266,0.3361129147514079
2019-01-31,0.999999999999999,0.5233097783007824,0.5116230991105578,0.7518707499923638,0.33738501157679557
2019-02-01,0.9999999999999994,0.5229233365620066,0.5112703237423745,0.7516999426020615,0.33688745728219194
2019-02-04,0.9999999999999997,0.5220975965320537,0.5105619941133533,0.7510577653628137,0.33602998699054654
2019-02-05,0.9999999999999997,0.5220444184588695,0.5108326891696237,0.7514442957154895,0.336156304463732
2019-02-06,0.9999999999999997,0.5219489350638868,0.511149524487617,0.7515172234257421,0.3364939591204251
2019-02-07,0.9999999999999998,0.5213884987243637,0.5107006529270317,0.7512950355585104,0.33583985688257006
2019-02-08,0.9999999999999998,0.5215328758330908,0.5108767364470626,0.7514110827308815,0.33605523050543695
2019-02-11,0.9999999999999998,0.5216523606076469,0.5108557983604143,0.7514337066772803,0.33605720603994305
2019-02-12,0.9999999999999997,0.5224284938575817,0.5113994352282641,0.7516189753389344,0.3369272685819106
2019-02-13,0.9999999999999998,0.521940500203194,0.5101162670524448,0.7510196877174058,0.33542074781282877
2019-02-14,0.9999999999999998,0.5218689533737876,0.5099134045891353,0.7509674759488261,0.33516194523358733
2019-02-15,0.9999999999999994,0.5234050583202363,0.5081699972258696,0.7492411095604343,0.33435343424410785
2019-02-19,0.9999999999999997,0.5232806312889821,0.5093689869126917,0.7503438038514874,0.33527416750741573
2019-02-20,0.9999999999999994,0.5230220872030332,0.5088444888127739,0.7501787758247535,0.3345957170193006
2019-02-21,0.9999999999999997,0.5234402770763581,0.5096420590541265,0.7506455585093126,0.3355215440701453
2019-02-22,0.9999999999999994,0.5245879037989775,0.5104887193222236,0.7512011611901177,0.3367139975440179
2019-02-25,0.9999999999999992,0.5245461704837857,0.5105136707745351,0.7512605212823174,0.33670041754253943
2019-02-26,0.9999999999999997,0.5245092830918043,0.5102826747401741,0.7511492558905944,0.3364484960728164
2019-02-27,0.9999999999999997,0.5241906293704068,0.5085416870132174,0.7502779082013311,0.3345532166727439
2019-02-28,0.9999999999999994,0.5250955948261105,0.5088380296618461,0.7506338644337343,0.33505768843924566
2019-03-01,0.9999999999999997,0.5240267722299436,0.5066118056882903,0.7493804404769644,0.33248101578827255
2019-03-04,0.9999999999999997,0.5231762728278143,0.5052936641312076,0.7481602390119331,0.3311341541230466
2019-03-05,0.9999999999999997,0.5232457819825076,0.505165140773862,0.7482527158405432,0.33094302837614903
2019-03-06,0.9999999999999992,0.5229323254411959,0.5049409527038967,0.7479173919542639,0.3307237827060415
2019-03-07,0.9999999999999997,0.5218612015788621,0.5044948113258748,0.7475359659452668,0.3299823740188712
2019-03-08,0.9999999999999997,0.5215371825962104,0.503789773231836,0.7468981762754233,0.32929901402851025
2019-03-11,0.9999999999999994,0.52162015229941,0.5032321084022884,0.7468001577743284,0.32865941386313885
2019-03-12,0.9999999999999994,0.5218895992687037,0.5036137246193274,0.7470138508123948,0.32913131612667
2019-03-13,0.9999999999999998,0.5216133461222076,0.5039748184851186,0.7469747100662153,0.3295234995706565
2019-03-14,0.9999999999999994,0.5222443888758308,0.5043077986168442,0.7471481877408975,0.33007802391101365
2019-03-15,0.9999999999999997,0.5230295721754036,0.5052768837312348,0.7478923098583659,0.3312042043089671
2019-03-18,0.9999999999999994,0.5227072926192025,0.5050293798429056,0.7474292154505322,0.33101957305617846
2019-03-19,0.9999999999999994,0.5227155377994841,0.5050861880982267,0.7474713431979607,0.33107341526586254
2019-03-20,0.9999999999999997,0.521933019522065,0.5037952831436426,0.7460688944889675,0.32988168399669915
2019-03-21,0.9999999999999994,0.524083262980714,0.5047348029507489,0.7469955571904933,0.3313413802371406
2019-03-22,0.9999999999999994,0.5195789475561373,0.501190240003222,0.7438059983908963,0.32691004865499507
2019-03-25,0.9999999999999994,0.5185625544157125,0.5000833638320384,0.7430989604693428,0.32550694248269113
2019-03-26,0.9999999999999997,0.5185747077786432,0.49892906669660725,0.7421671589723796,0.32451477202976914
2019-03-27,0.9999999999999997,0.5174951875144049,0.49892249676195766,0.7421161427361164,0.3241628563219765
2019-03-28,0.9999999999999992,0.5177616073357493,0.4982211810129362,0.7418055102017435,0.32351346901184
2019-03-29,0.9999999999999994,0.518064493683724,0.4983693100808278,0.7420291629701116,0.32369009209670807
2019-04-01,0.9999999999999993,0.514893976453642,0.4956752980610294,0.7397172837903913,0.3203493562648432
2019-04-02,0.9999999999999993,0.5149127339878311,0.4957200959276855,0.7397557889337225,0.32039321943721855
2019-04-03,0.9999999999999991,0.5151475153234717,0.49610778105327147,0.740123751759442,0.32077926279625246
2019-04-04,0.9999999999999991,0.5153727943421125,0.4962650416200757,0.7401234322050367,0.3210597982359992
2019-04-05,0.9999999999999991,0.5157284759697379,0.4963677548210667,0.7401894795753624,0.3212794667257143
2019-04-08,0.9999999999999992,0.5140720467614464,0.4943227361945354,0.7382081968467005,0.31912103147767457
2019-04-09,0.9999999999999991,0.5126355774195914,0.49266255548558235,0.7367054688593798,0.3172812379011912
2019-04-10,0.9999999999999993,0.5127775095551804,0.4928642593271136,0.736835478974752,0.31752144939694626
2019-04-11,0.9999999999999993,0.5131532433143521,0.49329325285935405,0.7371975647386118,0.318012319370847
2019-04-12,0.9999999999999992,0.5047165483396573,0.485427254216857,0.7306190421700769,0.30844858593234
2019-04-15,0.9999999999999992,0.5078480816674523,0.5000197069934001,0.7414483641492394,0.32262281731505427
2019-04-16,0.9999999999999992,0.5081732711112374,0.4991413029760336,0.7397106529469561,0.3225216216392704
2019-04-17,0.999999999999999,0.5078768926520077,0.4988678382107565,0.7389490644915626,0.32247062880599087
2019-04-18,0.9999999999999992,0.5046930188038218,0.4968139988314953,0.7372211618080292,0.31964224838821076
2019-04-22,0.9999999999999993,0.5045971111834282,0.4967618517249598,0.7371853337786368,0.31956099922600434
2019-04-23,0.9999999999999993,0.503634809734023,0.4949631458388675,0.7355246435454418,0.31778883098714933
2019-04-24,0.9999999999999993,0.5030850791586821,0.4945349569380834,0.7352238364119172,0.31720679401298574
2019-04-25,0.9999999999999993,0.5027471165654979,0.49481311622449203,0.7358562107409313,0.3171146602501125
2019-04-26,0.9999999999999993,0.503234113125234,0.4959009735347986,0.7363658572540012,0.31841618708767105
2019-04-29,0.9999999999999993,0.5025300674111429,0.4920187006186256,0.7321947509498272,0.3153734762365515
2019-04-30,0.9999999999999994,0.5028186884839141,0.48935434665156724,0.7287004351790057,0.3138851432700521
2019-05-01,0.9999999999999996,0.50291890216996,0.4890319328136803,0.7271127364763873,0.3143450814966787
2019-05-02,0.9999999999999997,0.5026439423542781,0.4871892129775456,0.7252005308407918,0.312885333749715
2019-05-03,0.9999999999999997,0.504545190409516,0.4912660423606726,0.7281841956515478,0.31721973633221057
2019-05-06,0.9999999999999997,0.5053907506012119,0.49106867136137133,0.7270708371965198,0.3178454167335916
2019-05-07,0.9999999999999996,0.5034861729112678,0.4867395381076337,0.7245234326493406,0.31295278430160967
2019-05-08,0.9999999999999994,0.5011803495661575,0.48446006783896317,0.7223454258771212,0.3103730707210042
2019-05-09,0.9999999999999996,0.5004006957949596,0.48496746435946025,0.7230803810424246,0.31037094786082575
2019-05-10,0.9999999999999994,0.5002757731426846,0.48495974986115065,0.72277290053057,0.31048114900984874
2019-05-13,0.9999999999999996,0.4967639679833251,0.4788840459923855,0.7193199371014102,0.30326193992006534
2019-05-14,0.9999999999999993,0.49629343175823665,0.4780740880420415,0.7186964091568245,0.3023852637820489
2019-05-15,0.9999999999999994,0.49831222520314217,0.47699233960098636,0.7186304320173181,0.3017163466827807
2019-05-16,0.9999999999999994,0.4982092222181301,0.4702590663029969,0.7139081823560385,0.2954909797847829
2019-05-17,0.9999999999999994,0.4981569053952798,0.47160656328978623,0.7147527464137516,0.2967650782543712
2019-05-20,0.9999999999999994,0.49865013057858226,0.4741007746807028,0.7167972232035204,0.299070793382148
2019-05-21,0.9999999999999993,0.49825674263140163,0.4724352278414061,0.7153479932466907,0.29755368243260116
2019-05-22,0.9999999999999993,0.4975659637432695,0.47214019503382615,0.7152884389236803,0.29696724878986885
2019-05-23,0.9999999999999993,0.4938764535026035,0.46461812044936623,0.7086718753077614,0.289496950938377
2019-05-24,0.999999999999999,0.4908556930254786,0.46339723373084357,0.7086743822216632,0.2868825334379398
2019-05-28,0.9999999999999992,0.4899303450643282,0.4622089906816965,0.7067816413485607,0.28603430544653785
2019-05-29,0.9999999999999991,0.4895305233620332,0.46194056300018327,0.7066706511003544,0.2856093508049917
2019-05-30,0.9999999999999993,0.48960403955172704,0.4613874761272068,0.7058728494590275,0.285343461106824
2019-05-31,0.9999999999999992,0.4866177109578299,0.45700448665021914,0.7032945692383977,0.2800264131574746
2019-06-03,0.9999999999999992,0.48601986307360384,0.4529583319773282,0.7011616962025018,0.2757278212403063
2019-06-04,0.9999999999999992,0.48222579746895705,0.4521409946850829,0.7002143412169256,0.27387270956512605
2019-06-05,0.9999999999999992,0.4805207518343115,0.45122650566905176,0.6990579772114428,0.2727199148572303
2019-06-06,0.999999999999999,0.4776120953007065,0.4475624717259214,0.6966671532843011,0.26825843139138517
2019-06-07,0.999999999999999,0.48630369673790214,0.4569753699994317,0.7045148717454638,0.2792340137911702
2019-06-10,0.999999999999999,0.48530168564026904,0.4563793059082873,0.7046714192105022,0.27803749853966897
2019-06-11,0.9999999999999991,0.4808075245248197,0.453705409881647,0.700960120650051,0.27501048172762543
2019-06-12,0.9999999999999989,0.4807626289488974,0.45355115929506534,0.7009012878409373,0.2748271030822664
2019-06-13,0.9999999999999989,0.4811060646649164,0.45422230390643537,0.701327998611878,0.2755852838062226
2019-06-14,0.9999999999999989,0.48159481882179467,0.45429176292941287,0.7013920725440913,0.2758087309221804
2019-06-17,0.9999999999999989,0.48145103785808213,0.4541149720360013,0.7012611356714482,0.27560054346389323
2019-06-18,0.9999999999999992,0.48151143626651083,0.4521942819025967,0.7003338161655329,0.2736330010483796
